Event_ID	Event_Type	GeneID	geneSymbol	ID	Gene_Event_ID	Event_Group	JuncType	comparison	IncFormLen	SkipFormLen	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncLevel1	IncLevel2	IncLevelDifference	IJC_SAMPLE_1_sum	SJC_SAMPLE_1_sum	IJC_SAMPLE_2_sum	SJC_SAMPLE_2_sum	SAMPLE_1_TotalReadCount	SAMPLE_2_TotalReadCount	EventTotalReadCount	PSI_SAMPLE_1	PSI_SAMPLE_2	DSE_Category
Event_2801	se_jcec	ENSG00000267314	AC104532.1	69258	1	Skipped Exon	JCEC	Control_vs_shRYBP	238	149	5,7,8	0,0,0	7,10,11	0,8,1	1.0,1.0,1.0	1.0,0.439,0.873	0.229	20	0	28	9	20	37	57	1	0.756756756756757	
Event_2801	se_jc	ENSG00000267314	AC104532.1	70635	1	Skipped Exon	JC	shRYBP_vs_shRING1A.B	238	149	7,10,11	0,8,1	19,28,9	0,0,2	1.0,0.439,0.873	1.0,1.0,0.738	-0.142	28	9	56	2	37	58	95	0.756756756756757	0.96551724137931	
Event_2801	se_jcec	ENSG00000267314	AC104532.1	70635	1	Skipped Exon	JCEC	shRYBP_vs_shRING1A.B	238	149	7,10,11	0,8,1	19,28,9	0,0,2	1.0,0.439,0.873	1.0,1.0,0.738	-0.142	28	9	56	2	37	58	95	0.756756756756757	0.96551724137931	
Event_2802	se_jc	ENSG00000170482	SLC23A1	69296	1	Skipped Exon	JC	Control_vs_shRYBP	245	149	5,4,4	0,0,0	4,3,5	0,3,3	1.0,1.0,1.0	1.0,0.378,0.503	0.373	13	0	12	6	13	18	31	1	0.666666666666667	Common to shRING1A.B and shRYBP
Event_2802	se_jcec	ENSG00000170482	SLC23A1	69296	1	Skipped Exon	JCEC	Control_vs_shRYBP	245	149	5,4,4	0,0,0	4,3,5	0,3,3	1.0,1.0,1.0	1.0,0.378,0.503	0.373	13	0	12	6	13	18	31	1	0.666666666666667	Common to shRING1A.B and shRYBP
Event_2802	se_jc	ENSG00000170482	SLC23A1	70222	1	Skipped Exon	JC	Control_vs_shRING1A.B	245	149	5,4,4	0,0,0	8,6,38	6,3,2	1.0,1.0,1.0	0.448,0.549,0.92	0.361	13	0	52	11	13	63	76	1	0.825396825396825	Common to shRING1A.B and shRYBP
Event_2802	se_jcec	ENSG00000170482	SLC23A1	70222	1	Skipped Exon	JCEC	Control_vs_shRING1A.B	245	149	5,4,4	0,0,0	8,6,38	6,3,2	1.0,1.0,1.0	0.448,0.549,0.92	0.361	13	0	52	11	13	63	76	1	0.825396825396825	Common to shRING1A.B and shRYBP
Event_2804	se_jc	ENSG00000162139	NEU3	69364	1	Skipped Exon	JC	Control_vs_shRYBP	298	149	39,36,43	0,0,2	27,27,20	1,4,3	1.0,1.0,0.915	0.931,0.771,0.769	0.148	118	2	74	8	120	82	202	0.983333333333333	0.902439024390244	Unique to shRYBP vs Control
Event_2805	se_jc	ENSG00000158555	GDPD5	69389	1	Skipped Exon	JC	Control_vs_shRYBP	298	149	2,0,6	21,42,75	16,10,12	39,54,40	0.045,0.0,0.038	0.17,0.085,0.13	-0.101	8	138	38	133	146	171	317	0.0547945205479452	0.222222222222222	Unique to shRYBP vs Control
Event_2806	se_jc	ENSG00000254536	AL360181.3	69417	1	Skipped Exon	JC	Control_vs_shRYBP	206	149	2,3,11	1,1,1	3,9,1	3,10,5	0.591,0.685,0.888	0.42,0.394,0.126	0.408	16	3	13	18	19	31	50	0.842105263157895	0.419354838709677	
Event_2806	se_jcec	ENSG00000254536	AL360181.3	69417	1	Skipped Exon	JCEC	Control_vs_shRYBP	206	149	2,3,11	1,1,1	3,9,1	3,10,5	0.591,0.685,0.888	0.42,0.394,0.126	0.408	16	3	13	18	19	31	50	0.842105263157895	0.419354838709677	
Event_2806	se_jc	ENSG00000254536	AL360181.3	70802	1	Skipped Exon	JC	shRYBP_vs_shRING1A.B	206	149	3,9,1	3,10,5	4,2,8	0,1,2	0.42,0.394,0.126	1.0,0.591,0.743	-0.465	13	18	14	3	31	17	48	0.419354838709677	0.823529411764706	
Event_2806	se_jcec	ENSG00000254536	AL360181.3	70802	1	Skipped Exon	JCEC	shRYBP_vs_shRING1A.B	206	149	3,9,1	3,10,5	4,2,8	0,1,2	0.42,0.394,0.126	1.0,0.591,0.743	-0.465	13	18	14	3	31	17	48	0.419354838709677	0.823529411764706	
Event_2807	se_jc	ENSG00000257621	PSMA3-AS1	69441	1	Skipped Exon	JC	Control_vs_shRYBP	298	149	19,11,6	3,1,2	10,6,14	1,0,0	0.76,0.846,0.6	0.833,1.0,1.0	-0.209	36	6	30	1	42	31	73	0.857142857142857	0.967741935483871	
Event_2807	se_jc	ENSG00000257621	PSMA3-AS1	70822	1	Skipped Exon	JC	shRYBP_vs_shRING1A.B	298	149	10,6,14	1,0,0	1,10,10	4,0,9	0.833,1.0,1.0	0.111,1.0,0.357	0.455	30	1	21	13	31	34	65	0.967741935483871	0.617647058823529	
Event_2808	se_jc	ENSG00000257621	PSMA3-AS1	69442	2	Skipped Exon	JC	Control_vs_shRYBP	245	149	0,2,7	3,1,2	0,3,6	1,0,0	0.0,0.549,0.68	0.0,1.0,1.0	-0.257	9	6	9	1	15	10	25	0.6	0.9	
Event_2808	se_jcec	ENSG00000257621	PSMA3-AS1	69442	2	Skipped Exon	JCEC	Control_vs_shRYBP	245	149	0,2,7	3,1,2	0,3,6	1,0,0	0.0,0.549,0.68	0.0,1.0,1.0	-0.257	9	6	9	1	15	10	25	0.6	0.9	
Event_2808	se_jc	ENSG00000257621	PSMA3-AS1	70823	2	Skipped Exon	JC	shRYBP_vs_shRING1A.B	245	149	0,3,6	1,0,0	5,1,0	4,0,9	0.0,1.0,1.0	0.432,1.0,0.0	0.189	9	1	6	13	10	19	29	0.9	0.315789473684211	
Event_2808	se_jcec	ENSG00000257621	PSMA3-AS1	70823	2	Skipped Exon	JCEC	shRYBP_vs_shRING1A.B	245	149	0,3,6	1,0,0	5,1,0	4,0,9	0.0,1.0,1.0	0.432,1.0,0.0	0.189	9	1	6	13	10	19	29	0.9	0.315789473684211	
Event_281	a3ss_jc	ENSG00000137216	TMEM63B	7980	2	Alternative 5' Splice Site	JC	Control_vs_shRING1A.B	290	149	16,8,2	15,12,20	0,0,6	23,24,33	0.354,0.255,0.049	0.0,0.0,0.085	0.191	26	47	6	80	73	86	159	0.356164383561644	0.0697674418604651	Same Direction
Event_281	a3ss_jcec	ENSG00000137216	TMEM63B	7980	2	Alternative 5' Splice Site	JCEC	Control_vs_shRING1A.B	290	149	16,8,2	15,12,20	0,0,6	23,24,33	0.354,0.255,0.049	0.0,0.0,0.085	0.191	26	47	6	80	73	86	159	0.356164383561644	0.0697674418604651	Same Direction
Event_281	a3ss_jc	ENSG00000137216	TMEM63B	8002	2	Alternative 5' Splice Site	JC	shRYBP_vs_shRING1A.B	290	149	2,2,13	12,15,14	0,0,6	23,24,33	0.079,0.064,0.323	0.0,0.0,0.085	0.127	17	41	6	80	58	86	144	0.293103448275862	0.0697674418604651	Same Direction
Event_281	a3ss_jcec	ENSG00000137216	TMEM63B	8002	2	Alternative 5' Splice Site	JCEC	shRYBP_vs_shRING1A.B	290	149	2,2,13	12,15,14	0,0,6	23,24,33	0.079,0.064,0.323	0.0,0.0,0.085	0.127	17	41	6	80	58	86	144	0.293103448275862	0.0697674418604651	Same Direction
Event_2811	se_jc	ENSG00000165490	DDIAS	69518	1	Skipped Exon	JC	Control_vs_shRYBP	267	149	21,14,15	1,0,0	15,7,23	1,4,2	0.921,1.0,1.0	0.893,0.494,0.865	0.223	50	1	45	7	51	52	103	0.980392156862745	0.865384615384615	Unique to shRYBP vs Control
