Event_ID	JuncType	geneSymbol	GeneID	Event_Group	Gene_Event_ID	sample	read_count	max_count	sum_count	DSE_Category
Event_103	JCEC	PNPLA6	ENSG00000032444	Alternative 5' Splice Site	1	shRYBP	459	459	459	
Event_103	JC	PNPLA6	ENSG00000032444	Alternative 5' Splice Site	1	shRING1A.B	591	591	591	
Event_103	JCEC	PNPLA6	ENSG00000032444	Alternative 5' Splice Site	1	shRING1A.B	591	591	591	
Event_1030	JC	RCC1	ENSG00000180198	Mutually Exclusive Exon	1	Control	111	138	308	Unique to shRING1A.B vs Control
Event_1030	JCEC	RCC1	ENSG00000180198	Mutually Exclusive Exon	1	Control	111	138	308	Unique to shRING1A.B vs Control
Event_1030	JC	RCC1	ENSG00000180198	Mutually Exclusive Exon	1	shRING1A.B	109	139	288	Unique to shRING1A.B vs Control
Event_1030	JCEC	RCC1	ENSG00000180198	Mutually Exclusive Exon	1	shRING1A.B	109	139	288	Unique to shRING1A.B vs Control
Event_1031	JC	AGAP4	ENSG00000188234	Mutually Exclusive Exon	1	Control	22	35	57	Unique to shRING1A.B vs Control
Event_1031	JCEC	AGAP4	ENSG00000188234	Mutually Exclusive Exon	1	Control	22	35	57	Unique to shRING1A.B vs Control
Event_1031	JC	AGAP4	ENSG00000188234	Mutually Exclusive Exon	1	shRING1A.B	27	27	27	Unique to shRING1A.B vs Control
Event_1031	JCEC	AGAP4	ENSG00000188234	Mutually Exclusive Exon	1	shRING1A.B	27	27	27	Unique to shRING1A.B vs Control
Event_1033	JC	VEZT	ENSG00000028203	Mutually Exclusive Exon	1	Control	31	31	44	Unique to shRING1A.B vs Control
Event_1033	JCEC	VEZT	ENSG00000028203	Mutually Exclusive Exon	1	Control	31	31	44	Unique to shRING1A.B vs Control
Event_1033	JC	VEZT	ENSG00000028203	Mutually Exclusive Exon	1	shRING1A.B	9	27	36	Unique to shRING1A.B vs Control
Event_1033	JCEC	VEZT	ENSG00000028203	Mutually Exclusive Exon	1	shRING1A.B	9	27	36	Unique to shRING1A.B vs Control
Event_1034	JC	PPP6R2	ENSG00000100239	Mutually Exclusive Exon	1	shRYBP	29	29	29	
Event_1034	JCEC	PPP6R2	ENSG00000100239	Mutually Exclusive Exon	1	shRYBP	29	29	29	
Event_1034	JC	PPP6R2	ENSG00000100239	Mutually Exclusive Exon	1	shRING1A.B	39	39	39	
Event_1034	JCEC	PPP6R2	ENSG00000100239	Mutually Exclusive Exon	1	shRING1A.B	39	39	39	
Event_1035	JC	GGT1	ENSG00000100031	Mutually Exclusive Exon	1	shRYBP	259	479	1016	
Event_1035	JCEC	GGT1	ENSG00000100031	Mutually Exclusive Exon	1	shRYBP	259	259	588	
Event_1035	JC	GGT1	ENSG00000100031	Mutually Exclusive Exon	1	shRING1A.B	408	408	935	
Event_1035	JCEC	GGT1	ENSG00000100031	Mutually Exclusive Exon	1	shRING1A.B	408	429	1097	
Event_1037	JC	MARCH2	ENSG00000099785	Mutually Exclusive Exon	1	shRYBP	174	174	174	
Event_1037	JC	MARCH2	ENSG00000099785	Mutually Exclusive Exon	1	shRING1A.B	296	296	296	
Event_104	JC	CAMK2D	ENSG00000145349	Alternative 5' Splice Site	1	Control	99	99	182	Common to shRING1A.B and shRYBP
