comparison	DSE_Category	Event_Group	geneSymbol	GeneID	Gene_Event_ID	Event_ID	SAMPLE_1_TotalReadCount	SAMPLE_2_TotalReadCount	IncLevelDifference	meanReadCount	absDeltaPSI	coverageDeltaScore
Control_vs_shRING1A.B	Common to shRING1A.B and shRYBP	Skipped Exon	AL162258.1	ENSG00000271853	1	Event_2680	13	7	-0.569	10	0.569	5.69
Control_vs_shRING1A.B	Common to shRING1A.B and shRYBP	Skipped Exon	ZBTB8OS	ENSG00000176261	2	Event_2138	21	16	-0.556	18.5	0.556	10.286
Control_vs_shRING1A.B	Common to shRING1A.B and shRYBP	Skipped Exon	FAM222B	ENSG00000173065	1	Event_1855	9	30	-0.532	19.5	0.532	10.374
Control_vs_shRING1A.B	Common to shRING1A.B and shRYBP	Skipped Exon	COP1	ENSG00000143207	2	Event_2476	8	9	-0.531	8.5	0.531	4.5135
Control_vs_shRING1A.B	Common to shRING1A.B and shRYBP	Skipped Exon	GRB10	ENSG00000106070	1	Event_2080	43	64	-0.524	53.5	0.524	28.034
Control_vs_shRYBP	Different Direction	Skipped Exon	PKD1P1	ENSG00000183889	1	Event_1890	15	39	0.944	27	0.944	25.488
Control_vs_shRYBP	Different Direction	Skipped Exon	MOK	ENSG00000080823	3	Event_2148	34	26	0.784	30	0.784	23.52
Control_vs_shRYBP	Different Direction	Skipped Exon	TEP1	ENSG00000129566	1	Event_2302	42	56	0.59	49	0.59	28.91
Control_vs_shRYBP	Different Direction	Skipped Exon	C2CD5	ENSG00000111731	1	Event_2535	13	8	0.576	10.5	0.576	6.048
Control_vs_shRING1A.B	Different Direction	Skipped Exon	PKD1P1	ENSG00000183889	1	Event_1890	15	44	0.43	29.5	0.43	12.685
Control_vs_shRING1A.B	Different Direction	Skipped Exon	C2CD5	ENSG00000111731	1	Event_2535	13	24	0.401	18.5	0.401	7.4185
Control_vs_shRING1A.B	Different Direction	Skipped Exon	MOK	ENSG00000080823	3	Event_2148	34	30	0.285	32	0.285	9.12
Control_vs_shRING1A.B	Different Direction	Skipped Exon	TEP1	ENSG00000129566	1	Event_2302	42	53	0.25	47.5	0.25	11.875
shRYBP_vs_shRING1A.B	Different Direction	Skipped Exon	PKD1P1	ENSG00000183889	1	Event_1890	39	44	-0.514	41.5	0.514	21.331
shRYBP_vs_shRING1A.B	Different Direction	Skipped Exon	MOK	ENSG00000080823	3	Event_2148	26	30	-0.499	28	0.499	13.972
shRYBP_vs_shRING1A.B	Different Direction	Skipped Exon	TEP1	ENSG00000129566	1	Event_2302	56	53	-0.34	54.5	0.34	18.53
shRYBP_vs_shRING1A.B	Different Direction	Skipped Exon	C2CD5	ENSG00000111731	1	Event_2535	8	24	-0.175	16	0.175	2.8
Control_vs_shRYBP	Same Direction	Skipped Exon	FANCI	ENSG00000140525	3	Event_2700	19	18	0.57	18.5	0.57	10.545
Control_vs_shRYBP	Same Direction	Skipped Exon	NKAIN4	ENSG00000101198	1	Event_2657	30	69	0.179	49.5	0.179	8.8605
Control_vs_shRING1A.B	Same Direction	Skipped Exon	FANCI	ENSG00000140525	3	Event_2700	19	10	0.962	14.5	0.962	13.949
Control_vs_shRING1A.B	Same Direction	Skipped Exon	ALS2CL	ENSG00000178038	2	Event_3467	13	19	0.808	16	0.808	12.928
Control_vs_shRING1A.B	Same Direction	Skipped Exon	CELF1	ENSG00000149187	1	Event_3732	14	27	0.729	20.5	0.729	14.9445
Control_vs_shRING1A.B	Same Direction	Skipped Exon	NMNAT3	ENSG00000163864	1	Event_3406	10	31	0.714	20.5	0.714	14.637
Control_vs_shRING1A.B	Same Direction	Skipped Exon	CRIM1	ENSG00000150938	1	Event_3409	23	36	-0.668	29.5	0.668	19.706
Control_vs_shRING1A.B	Same Direction	Skipped Exon	ASCC2	ENSG00000100325	2	Event_2944	8	8	0.667	8	0.667	5.336
Control_vs_shRING1A.B	Same Direction	Skipped Exon	NME6	ENSG00000172113	2	Event_3376	11	8	-0.667	9.5	0.667	6.3365
Control_vs_shRING1A.B	Same Direction	Skipped Exon	IDNK	ENSG00000148057	2	Event_3702	29	15	0.64	22	0.64	14.08
Control_vs_shRING1A.B	Same Direction	Skipped Exon	AC010326.2	ENSG00000269476	1	Event_3023	24	44	0.639	34	0.639	21.726
Control_vs_shRING1A.B	Same Direction	Skipped Exon	NENF	ENSG00000117691	1	Event_3535	10	26	0.621	18	0.621	11.178
Control_vs_shRING1A.B	Same Direction	Skipped Exon	PPOX	ENSG00000143224	3	Event_3320	22	15	-0.594	18.5	0.594	10.989
Control_vs_shRING1A.B	Same Direction	Skipped Exon	ALS2CL	ENSG00000178038	1	Event_3466	24	29	0.589	26.5	0.589	15.6085
Control_vs_shRING1A.B	Same Direction	Skipped Exon	RPS6KL1	ENSG00000198208	1	Event_3697	15	15	-0.589	15	0.589	8.835
Control_vs_shRING1A.B	Same Direction	Skipped Exon	NARF	ENSG00000141562	1	Event_3163	29	15	-0.56	22	0.56	12.32
Control_vs_shRING1A.B	Same Direction	Skipped Exon	TRAPPC3	ENSG00000054116	1	Event_3233	29	19	-0.558	24	0.558	13.392
Control_vs_shRING1A.B	Same Direction	Skipped Exon	NOD1	ENSG00000106100	1	Event_3755	37	19	-0.542	28	0.542	15.176
Control_vs_shRING1A.B	Same Direction	Skipped Exon	LINC00847	ENSG00000245060	2	Event_3276	15	18	0.539	16.5	0.539	8.8935
Control_vs_shRING1A.B	Same Direction	Skipped Exon	ENOX2	ENSG00000165675	1	Event_3630	50	20	0.528	35	0.528	18.48
Control_vs_shRING1A.B	Same Direction	Skipped Exon	TBC1D5	ENSG00000131374	7	Event_3325	48	12	0.526	30	0.526	15.78
Control_vs_shRING1A.B	Same Direction	Skipped Exon	ELP2	ENSG00000134759	1	Event_3291	19	11	0.519	15	0.519	7.785
shRYBP_vs_shRING1A.B	Same Direction	Skipped Exon	ALS2CL	ENSG00000178038	2	Event_3467	6	19	0.808	12.5	0.808	10.1
shRYBP_vs_shRING1A.B	Same Direction	Skipped Exon	ZNF131	ENSG00000172262	1	Event_3151	17	9	0.77	13	0.77	10.01
shRYBP_vs_shRING1A.B	Same Direction	Skipped Exon	NME6	ENSG00000172113	2	Event_3376	14	8	-0.756	11	0.756	8.316
shRYBP_vs_shRING1A.B	Same Direction	Skipped Exon	PPOX	ENSG00000143224	3	Event_3320	19	15	-0.741	17	0.741	12.597
shRYBP_vs_shRING1A.B	Same Direction	Skipped Exon	CELF1	ENSG00000149187	1	Event_3732	10	27	0.729	18.5	0.729	13.4865
shRYBP_vs_shRING1A.B	Same Direction	Skipped Exon	AC010326.2	ENSG00000269476	1	Event_3023	25	44	0.639	34.5	0.639	22.0455
shRYBP_vs_shRING1A.B	Same Direction	Skipped Exon	TBC1D5	ENSG00000131374	7	Event_3325	15	12	0.589	13.5	0.589	7.9515
shRYBP_vs_shRING1A.B	Same Direction	Skipped Exon	ALS2CL	ENSG00000178038	1	Event_3466	16	29	0.589	22.5	0.589	13.2525
shRYBP_vs_shRING1A.B	Same Direction	Skipped Exon	RPS6KL1	ENSG00000198208	1	Event_3697	12	15	-0.589	13.5	0.589	7.9515
shRYBP_vs_shRING1A.B	Same Direction	Skipped Exon	ZNF655	ENSG00000197343	1	Event_4103	24	8	-0.565	16	0.565	9.04
shRYBP_vs_shRING1A.B	Same Direction	Skipped Exon	TRAPPC3	ENSG00000054116	1	Event_3233	14	19	-0.558	16.5	0.558	9.207
shRYBP_vs_shRING1A.B	Same Direction	Skipped Exon	TRDMT1	ENSG00000107614	1	Event_3423	15	7	-0.554	11	0.554	6.094
shRYBP_vs_shRING1A.B	Same Direction	Skipped Exon	ELP2	ENSG00000134759	1	Event_3291	20	11	0.549	15.5	0.549	8.5095
shRYBP_vs_shRING1A.B	Same Direction	Skipped Exon	WDR20	ENSG00000140153	4	Event_3099	19	40	0.536	29.5	0.536	15.812
shRYBP_vs_shRING1A.B	Same Direction	Skipped Exon	RCCD1	ENSG00000166965	2	Event_3068	32	14	0.534	23	0.534	12.282
shRYBP_vs_shRING1A.B	Same Direction	Skipped Exon	IL15	ENSG00000164136	1	Event_3419	58	56	0.534	57	0.534	30.438
shRYBP_vs_shRING1A.B	Same Direction	Skipped Exon	NARF	ENSG00000141562	1	Event_3163	18	15	-0.532	16.5	0.532	8.778
shRYBP_vs_shRING1A.B	Same Direction	Skipped Exon	NMNAT3	ENSG00000163864	1	Event_3406	21	31	0.529	26	0.529	13.754
shRYBP_vs_shRING1A.B	Same Direction	Skipped Exon	IDNK	ENSG00000148057	2	Event_3702	32	15	0.524	23.5	0.524	12.314
shRYBP_vs_shRING1A.B	Same Direction	Skipped Exon	IL15	ENSG00000164136	2	Event_3420	29	14	0.515	21.5	0.515	11.0725
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Skipped Exon	NSRP1	ENSG00000126653	3	Event_3589	43	16	-0.777	29.5	0.777	22.9215
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Skipped Exon	GINS1	ENSG00000101003	1	Event_3310	11	26	0.766	18.5	0.766	14.171
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Skipped Exon	POLL	ENSG00000166169	2	Event_3663	4	29	-0.761	16.5	0.761	12.5565
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Skipped Exon	AC027097.2	ENSG00000267787	1	Event_3296	16	29	0.689	22.5	0.689	15.5025
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Skipped Exon	SREK1IP1	ENSG00000153006	1	Event_3179	28	12	-0.677	20	0.677	13.54
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Skipped Exon	METTL5	ENSG00000138382	1	Event_3268	9	19	0.673	14	0.673	9.422
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Skipped Exon	C17orf67	ENSG00000214226	2	Event_3014	10	13	0.654	11.5	0.654	7.521
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Skipped Exon	TRIM16	ENSG00000221926	2	Event_3746	25	20	-0.648	22.5	0.648	14.58
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Skipped Exon	NFATC2IP	ENSG00000176953	1	Event_3050	14	19	0.639	16.5	0.639	10.5435
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Skipped Exon	IDNK	ENSG00000148057	1	Event_3701	18	13	0.622	15.5	0.622	9.641
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Skipped Exon	SLC38A9	ENSG00000177058	2	Event_3184	15	6	-0.614	10.5	0.614	6.447
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Skipped Exon	CBWD3	ENSG00000196873	1	Event_3581	29	14	0.614	21.5	0.614	13.201
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Skipped Exon	RIDA	ENSG00000132541	1	Event_3669	49	20	0.604	34.5	0.604	20.838
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Skipped Exon	BRD9	ENSG00000028310	1	Event_3468	9	15	0.6	12	0.6	7.2
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Skipped Exon	PACRGL	ENSG00000163138	3	Event_3187	23	9	-0.596	16	0.596	9.536
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Skipped Exon	ITGB3BP	ENSG00000142856	2	Event_3478	19	17	0.589	18	0.589	10.602
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Skipped Exon	AKT2	ENSG00000105221	1	Event_3803	7	16	-0.588	11.5	0.588	6.762
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Skipped Exon	NELFA	ENSG00000185049	1	Event_3563	34	25	-0.577	29.5	0.577	17.0215
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Skipped Exon	C4orf36	ENSG00000163633	1	Event_3172	34	15	0.576	24.5	0.576	14.112
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Skipped Exon	IP6K2	ENSG00000068745	3	Event_3382	15	5	0.574	10	0.574	5.74
Control_vs_shRYBP	Unique to shRYBP vs Control	Alternative 3' Splice Site	MICAL2	ENSG00000133816	1	Event_605	10	10	-0.591	10	0.591	5.91
Control_vs_shRYBP	Unique to shRYBP vs Control	Alternative 3' Splice Site	PCBP1-AS1	ENSG00000179818	1	Event_584	6	13	0.456	9.5	0.456	4.332
Control_vs_shRYBP	Unique to shRYBP vs Control	Alternative 3' Splice Site	MSTO1	ENSG00000125459	1	Event_528	20	30	-0.419	25	0.419	10.475
Control_vs_shRYBP	Unique to shRYBP vs Control	Alternative 3' Splice Site	TOP3A	ENSG00000177302	1	Event_515	49	32	-0.398	40.5	0.398	16.119
Control_vs_shRYBP	Unique to shRYBP vs Control	Alternative 3' Splice Site	FKRP	ENSG00000181027	1	Event_509	26	21	-0.384	23.5	0.384	9.024
Control_vs_shRYBP	Unique to shRYBP vs Control	Alternative 3' Splice Site	RSRP1	ENSG00000117616	1	Event_555	76	87	-0.358	81.5	0.358	29.177
Control_vs_shRYBP	Unique to shRYBP vs Control	Alternative 3' Splice Site	EOGT	ENSG00000163378	1	Event_599	37	34	0.353	35.5	0.353	12.5315
Control_vs_shRYBP	Unique to shRYBP vs Control	Alternative 3' Splice Site	GORASP1	ENSG00000114745	1	Event_581	8	14	0.35	11	0.35	3.85
Control_vs_shRYBP	Unique to shRYBP vs Control	Alternative 3' Splice Site	MUTYH	ENSG00000132781	1	Event_559	73	54	0.348	63.5	0.348	22.098
Control_vs_shRYBP	Unique to shRYBP vs Control	Alternative 3' Splice Site	GOSR2	ENSG00000108433	1	Event_513	21	42	0.338	31.5	0.338	10.647
Control_vs_shRYBP	Unique to shRYBP vs Control	Alternative 3' Splice Site	ZNF148	ENSG00000163848	1	Event_575	27	29	0.329	28	0.329	9.212
Control_vs_shRYBP	Unique to shRYBP vs Control	Alternative 3' Splice Site	FN3KRP	ENSG00000141560	1	Event_512	23	15	-0.316	19	0.316	6.004
Control_vs_shRYBP	Unique to shRYBP vs Control	Alternative 3' Splice Site	AC009948.1	ENSG00000223960	1	Event_571	50	77	-0.315	63.5	0.315	20.0025
Control_vs_shRYBP	Unique to shRYBP vs Control	Alternative 3' Splice Site	GSG1	ENSG00000111305	1	Event_588	64	51	-0.309	57.5	0.309	17.7675
Control_vs_shRYBP	Unique to shRYBP vs Control	Alternative 3' Splice Site	PVT1	ENSG00000249859	1	Event_597	45	40	0.307	42.5	0.307	13.0475
Control_vs_shRYBP	Unique to shRYBP vs Control	Alternative 3' Splice Site	ELMOD3	ENSG00000115459	1	Event_598	50	70	-0.307	60	0.307	18.42
Control_vs_shRYBP	Unique to shRYBP vs Control	Alternative 3' Splice Site	ZNF561	ENSG00000171469	1	Event_527	133	102	-0.299	117.5	0.299	35.1325
Control_vs_shRYBP	Unique to shRYBP vs Control	Alternative 3' Splice Site	TAX1BP1	ENSG00000106052	1	Event_534	61	51	-0.275	56	0.275	15.4
Control_vs_shRYBP	Unique to shRYBP vs Control	Alternative 3' Splice Site	TUBGCP6	ENSG00000128159	1	Event_506	19	21	-0.266	20	0.266	5.32
Control_vs_shRYBP	Unique to shRYBP vs Control	Alternative 3' Splice Site	IL17RD	ENSG00000144730	1	Event_546	23	27	-0.258	25	0.258	6.45
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Alternative 3' Splice Site	C18orf54	ENSG00000166845	1	Event_510	13	48	0.633	30.5	0.633	19.3065
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Alternative 3' Splice Site	CETN4P	ENSG00000224786	1	Event_535	15	32	-0.535	23.5	0.535	12.5725
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Alternative 3' Splice Site	SH3TC2	ENSG00000169247	1	Event_578	5	25	0.431	15	0.431	6.465
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Alternative 3' Splice Site	ACTR10	ENSG00000131966	1	Event_617	16	21	0.407	18.5	0.407	7.5295
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Alternative 3' Splice Site	PPT2-EGFL8	ENSG00000258388	1	Event_591	15	7	-0.377	11	0.377	4.147
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Alternative 3' Splice Site	PDLIM2	ENSG00000120913	1	Event_549	42	32	-0.376	37	0.376	13.912
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Alternative 3' Splice Site	TTC31	ENSG00000115282	1	Event_568	25	17	-0.344	21	0.344	7.224
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Alternative 3' Splice Site	CCDC159	ENSG00000183401	1	Event_590	19	48	-0.33	33.5	0.33	11.055
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Alternative 3' Splice Site	NPL	ENSG00000135838	1	Event_572	24	45	-0.264	34.5	0.264	9.108
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Alternative 3' Splice Site	TMF1	ENSG00000144747	1	Event_542	31	54	-0.256	42.5	0.256	10.88
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Alternative 3' Splice Site	CYB5RL	ENSG00000215883	1	Event_563	42	60	-0.243	51	0.243	12.393
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Alternative 3' Splice Site	KMT2A	ENSG00000118058	1	Event_582	30	36	-0.223	33	0.223	7.359
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Alternative 3' Splice Site	CTNND1	ENSG00000198561	1	Event_608	22	36	-0.214	29	0.214	6.206
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Alternative 3' Splice Site	ZNF527	ENSG00000189164	1	Event_611	28	24	-0.201	26	0.201	5.226
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Alternative 3' Splice Site	SPEG	ENSG00000072195	1	Event_577	16	26	-0.197	21	0.197	4.137
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Alternative 3' Splice Site	COL16A1	ENSG00000084636	1	Event_551	9	29	-0.191	19	0.191	3.629
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Alternative 3' Splice Site	ZMYM1	ENSG00000197056	1	Event_556	75	100	-0.19	87.5	0.19	16.625
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Alternative 3' Splice Site	IQCJ-SCHIP1	ENSG00000283154	1	Event_601	241	295	-0.166	268	0.166	44.488
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Alternative 3' Splice Site	ZKSCAN8	ENSG00000198315	1	Event_583	36	44	0.161	40	0.161	6.44
Control_vs_shRYBP	Common to shRING1A.B and shRYBP	Alternative 3' Splice Site	ATP5S	ENSG00000125375	1	Event_543	25	60	-0.154	42.5	0.154	6.545
Control_vs_shRING1A.B	Common to shRING1A.B and shRYBP	Alternative 3' Splice Site	CETN4P	ENSG00000224786	1	Event_535	15	27	-0.649	21	0.649	13.629
Control_vs_shRING1A.B	Common to shRING1A.B and shRYBP	Alternative 3' Splice Site	C18orf54	ENSG00000166845	1	Event_510	13	15	0.585	14	0.585	8.19
Control_vs_shRING1A.B	Common to shRING1A.B and shRYBP	Alternative 3' Splice Site	CCDC159	ENSG00000183401	1	Event_590	19	31	-0.565	25	0.565	14.125
Control_vs_shRING1A.B	Common to shRING1A.B and shRYBP	Alternative 3' Splice Site	SPEG	ENSG00000072195	1	Event_577	16	34	-0.456	25	0.456	11.4
Control_vs_shRING1A.B	Common to shRING1A.B and shRYBP	Alternative 3' Splice Site	TTC31	ENSG00000115282	1	Event_568	25	11	-0.344	18	0.344	6.192
Control_vs_shRING1A.B	Common to shRING1A.B and shRYBP	Alternative 3' Splice Site	SH3TC2	ENSG00000169247	1	Event_578	5	54	0.344	29.5	0.344	10.148
Control_vs_shRING1A.B	Common to shRING1A.B and shRYBP	Alternative 3' Splice Site	KMT2A	ENSG00000118058	1	Event_582	30	25	-0.339	27.5	0.339	9.3225
Control_vs_shRING1A.B	Common to shRING1A.B and shRYBP	Alternative 3' Splice Site	CTNND1	ENSG00000198561	1	Event_608	22	42	-0.298	32	0.298	9.536
Control_vs_shRING1A.B	Common to shRING1A.B and shRYBP	Alternative 3' Splice Site	PPT2-EGFL8	ENSG00000258388	1	Event_591	15	11	-0.291	13	0.291	3.783
Control_vs_shRING1A.B	Common to shRING1A.B and shRYBP	Alternative 3' Splice Site	PDLIM2	ENSG00000120913	1	Event_549	42	30	-0.265	36	0.265	9.54
Control_vs_shRING1A.B	Common to shRING1A.B and shRYBP	Alternative 3' Splice Site	TMF1	ENSG00000144747	1	Event_542	31	52	-0.262	41.5	0.262	10.873
Control_vs_shRING1A.B	Common to shRING1A.B and shRYBP	Alternative 3' Splice Site	HERC2P9	ENSG00000206149	1	Event_525	26	24	-0.241	25	0.241	6.025
Control_vs_shRING1A.B	Common to shRING1A.B and shRYBP	Alternative 3' Splice Site	COL16A1	ENSG00000084636	1	Event_551	9	20	-0.24	14.5	0.24	3.48
Control_vs_shRING1A.B	Common to shRING1A.B and shRYBP	Alternative 3' Splice Site	ZNF527	ENSG00000189164	1	Event_611	28	25	-0.236	26.5	0.236	6.254
Control_vs_shRING1A.B	Common to shRING1A.B and shRYBP	Alternative 3' Splice Site	PTPN13	ENSG00000163629	1	Event_538	59	99	-0.206	79	0.206	16.274
Control_vs_shRING1A.B	Common to shRING1A.B and shRYBP	Alternative 3' Splice Site	ZKSCAN8	ENSG00000198315	1	Event_583	36	39	0.196	37.5	0.196	7.35
Control_vs_shRING1A.B	Common to shRING1A.B and shRYBP	Alternative 3' Splice Site	ZMYM1	ENSG00000197056	1	Event_556	75	109	-0.172	92	0.172	15.824
Control_vs_shRING1A.B	Common to shRING1A.B and shRYBP	Alternative 3' Splice Site	ATP5S	ENSG00000125375	1	Event_543	25	54	-0.134	39.5	0.134	5.293
Control_vs_shRING1A.B	Common to shRING1A.B and shRYBP	Alternative 3' Splice Site	IQCJ-SCHIP1	ENSG00000283154	1	Event_601	241	155	-0.127	198	0.127	25.146
Control_vs_shRING1A.B	Common to shRING1A.B and shRYBP	Alternative 3' Splice Site	SNHG12	ENSG00000197989	1	Event_561	207	194	-0.126	200.5	0.126	25.263
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Alternative 3' Splice Site	ABCC6	ENSG00000091262	1	Event_634	9	58	0.73	33.5	0.73	24.455
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Alternative 3' Splice Site	VCPKMT	ENSG00000100483	1	Event_671	41	39	-0.636	40	0.636	25.44
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Alternative 3' Splice Site	DDIAS	ENSG00000165490	1	Event_681	26	9	0.575	17.5	0.575	10.0625
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Alternative 3' Splice Site	RALGAPA1	ENSG00000174373	1	Event_640	7	29	0.549	18	0.549	9.882
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Alternative 3' Splice Site	BEST1	ENSG00000167995	1	Event_639	27	29	0.515	28	0.515	14.42
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Alternative 3' Splice Site	CTTNBP2	ENSG00000077063	1	Event_670	22	48	0.461	35	0.461	16.135
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Alternative 3' Splice Site	KRBOX4	ENSG00000147121	1	Event_644	14	11	-0.448	12.5	0.448	5.6
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Alternative 3' Splice Site	TMEM134	ENSG00000172663	1	Event_680	31	15	-0.443	23	0.443	10.189
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Alternative 3' Splice Site	GUSBP11	ENSG00000228315	1	Event_619	18	30	-0.411	24	0.411	9.864
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Alternative 3' Splice Site	SNX17	ENSG00000115234	1	Event_654	57	64	0.403	60.5	0.403	24.3815
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Alternative 3' Splice Site	MTG1	ENSG00000148824	1	Event_685	44	41	-0.354	42.5	0.354	15.045
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Alternative 3' Splice Site	SMUG1	ENSG00000123415	1	Event_687	17	38	-0.349	27.5	0.349	9.5975
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Alternative 3' Splice Site	RWDD3	ENSG00000122481	1	Event_656	42	43	-0.326	42.5	0.326	13.855
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Alternative 3' Splice Site	BIRC6	ENSG00000115760	1	Event_635	52	38	0.322	45	0.322	14.49
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Alternative 3' Splice Site	ZNF559-ZNF177	ENSG00000270011	1	Event_621	17	39	-0.317	28	0.317	8.876
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Alternative 3' Splice Site	TRERF1	ENSG00000124496	1	Event_691	42	98	-0.279	70	0.279	19.53
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Alternative 3' Splice Site	HAGHL	ENSG00000103253	1	Event_660	11	20	-0.272	15.5	0.272	4.216
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Alternative 3' Splice Site	SMURF2P1-LRRC37BP1	ENSG00000214719	1	Event_630	51	55	0.271	53	0.271	14.363
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Alternative 3' Splice Site	LRRC37BP1	ENSG00000250462	1	Event_636	56	85	0.267	70.5	0.267	18.8235
Control_vs_shRING1A.B	Unique to shRING1A.B vs Control	Alternative 3' Splice Site	GMPPA	ENSG00000144591	1	Event_643	210	295	-0.248	252.5	0.248	62.62
Control_vs_shRING1A.B	Same Direction	Alternative 3' Splice Site	RPS6KL1	ENSG00000198208	1	Event_677	16	10	-0.485	13	0.485	6.305
Control_vs_shRING1A.B	Same Direction	Alternative 3' Splice Site	NME3	ENSG00000103024	1	Event_684	19	13	-0.442	16	0.442	7.072
Control_vs_shRING1A.B	Same Direction	Alternative 3' Splice Site	NOL8	ENSG00000198000	1	Event_678	52	31	0.428	41.5	0.428	17.762
Control_vs_shRING1A.B	Same Direction	Alternative 3' Splice Site	HDLBP	ENSG00000115677	2	Event_664	32	28	0.402	30	0.402	12.06
Control_vs_shRING1A.B	Same Direction	Alternative 3' Splice Site	AC009948.1	ENSG00000223960	2	Event_657	13	18	0.329	15.5	0.329	5.0995
Control_vs_shRING1A.B	Same Direction	Alternative 3' Splice Site	TRMT2B	ENSG00000188917	1	Event_673	53	61	0.307	57	0.307	17.499
Control_vs_shRING1A.B	Same Direction	Alternative 3' Splice Site	SPAG4	ENSG00000061656	1	Event_623	20	42	0.284	31	0.284	8.804
Control_vs_shRING1A.B	Same Direction	Alternative 3' Splice Site	RPL13A	ENSG00000142541	1	Event_620	41	72	0.264	56.5	0.264	14.916
Control_vs_shRING1A.B	Same Direction	Alternative 3' Splice Site	OGFOD2	ENSG00000111325	1	Event_642	38	58	0.242	48	0.242	11.616
Control_vs_shRING1A.B	Same Direction	Alternative 3' Splice Site	WISP2	ENSG00000064205	1	Event_655	7	25	-0.2	16	0.2	3.2
Control_vs_shRING1A.B	Same Direction	Alternative 3' Splice Site	RAB3IP	ENSG00000127328	1	Event_688	54	39	0.191	46.5	0.191	8.8815
Control_vs_shRING1A.B	Same Direction	Alternative 3' Splice Site	HDLBP	ENSG00000115677	1	Event_663	86	97	0.19	91.5	0.19	17.385
Control_vs_shRING1A.B	Same Direction	Alternative 3' Splice Site	HUS1	ENSG00000136273	1	Event_666	62	52	-0.19	57	0.19	10.83
Control_vs_shRING1A.B	Same Direction	Alternative 3' Splice Site	SPG7	ENSG00000197912	2	Event_633	84	74	0.185	79	0.185	14.615
Control_vs_shRING1A.B	Same Direction	Alternative 3' Splice Site	ARHGEF40	ENSG00000165801	1	Event_692	273	381	0.18	327	0.18	58.86
Control_vs_shRING1A.B	Same Direction	Alternative 3' Splice Site	FPGT	ENSG00000254685	1	Event_674	114	95	-0.153	104.5	0.153	15.9885
