Event_ID	Event_Group	condition	IncLevel	geneSymbol	sample	IncLevel_transformed	fitted	residuals_zscore
Event_1013	Mutually Exclusive Exon	Control	0.798	SUGCT	Control_Sample_1	0.798	0.501505110281003	1.4250516901296
Event_1013	Mutually Exclusive Exon	Control	0.802	SUGCT	Control_Sample_2	0.802	0.501505110281002	1.44941817963708
Event_1013	Mutually Exclusive Exon	Control	0.608	SUGCT	Control_Sample_3	0.608	0.501505110281003	0.464509483171866
Event_1013	Mutually Exclusive Exon	shRING1A.B	0.452	SUGCT	shRING1A.B_Sample_1	0.452	0.556377247159782	-0.48532835346933
Event_1013	Mutually Exclusive Exon	shRING1A.B	0.422	SUGCT	shRING1A.B_Sample_2	0.422	0.556377247159782	-0.616620878512799
Event_1013	Mutually Exclusive Exon	shRING1A.B	0.439	SUGCT	shRING1A.B_Sample_3	0.439	0.556377247159782	-0.542015283977523
Event_1014	Mutually Exclusive Exon	Control	0.056	MRNIP	Control_Sample_1	0.056	0.291571381869601	-0.00206717393631713
Event_1014	Mutually Exclusive Exon	Control	0	MRNIP	Control_Sample_2	1e-05	0.291571381869601	-1.06812674118564
Event_1014	Mutually Exclusive Exon	Control	0	MRNIP	Control_Sample_3	1e-05	0.291571381869601	-1.06812674118564
Event_1014	Mutually Exclusive Exon	shRING1A.B	0.1	MRNIP	shRING1A.B_Sample_1	0.1	0.339098790924312	-0.0382110739395864
Event_1014	Mutually Exclusive Exon	shRING1A.B	0	MRNIP	shRING1A.B_Sample_2	1e-05	0.339098790924311	-1.26993716925033
Event_1014	Mutually Exclusive Exon	shRING1A.B	0.348	MRNIP	shRING1A.B_Sample_3	0.348	0.339098790924312	0.294286344988402
Event_1015	Mutually Exclusive Exon	Control	0.199	SLC25A35	Control_Sample_1	0.199	0.762767070585897	-1.27776808261928
Event_1015	Mutually Exclusive Exon	Control	1	SLC25A35	Control_Sample_2	0.99999	0.762767070585897	1.38790032929156
Event_1015	Mutually Exclusive Exon	Control	0.554	SLC25A35	Control_Sample_3	0.554	0.762767070585897	-0.726891765237981
Event_1015	Mutually Exclusive Exon	shRING1A.B	1	SLC25A35	shRING1A.B_Sample_1	0.99999	0.800330582202529	1.15541376814583
Event_1015	Mutually Exclusive Exon	shRING1A.B	1	SLC25A35	shRING1A.B_Sample_2	0.99999	0.800330582202529	1.15541376814583
Event_1015	Mutually Exclusive Exon	shRING1A.B	1	SLC25A35	shRING1A.B_Sample_3	0.99999	0.800330582202529	1.15541376814583
Event_1016	Mutually Exclusive Exon	Control	0.196	DUS4L	Control_Sample_1	0.196	0.578543850651194	-0.94478567504873
Event_1016	Mutually Exclusive Exon	Control	0.209	DUS4L	Control_Sample_2	0.209	0.578543850651194	-0.906861661761145
Event_1016	Mutually Exclusive Exon	Control	0.248	DUS4L	Control_Sample_3	0.248	0.578543850651194	-0.800969850946099
Event_1016	Mutually Exclusive Exon	shRING1A.B	0.364	DUS4L	shRING1A.B_Sample_1	0.364	0.631172505314704	-0.699096022351635
Event_1016	Mutually Exclusive Exon	shRING1A.B	0.49	DUS4L	shRING1A.B_Sample_2	0.49	0.631172505314704	-0.439762493009594
Event_1016	Mutually Exclusive Exon	shRING1A.B	0.341	DUS4L	shRING1A.B_Sample_3	0.341	0.631172505314704	-0.74927420635872
Event_1017	Mutually Exclusive Exon	Control	0	PCBP1-AS1	Control_Sample_1	1e-05	0.456337515181702	-1.52183199731666
Event_1017	Mutually Exclusive Exon	Control	1	PCBP1-AS1	Control_Sample_2	0.99999	0.456337515181702	1.80781821235639
Event_1017	Mutually Exclusive Exon	Control	0.709	PCBP1-AS1	Control_Sample_3	0.709	0.456337515181702	0.297734533525698
Event_1017	Mutually Exclusive Exon	shRING1A.B	0	PCBP1-AS1	shRING1A.B_Sample_1	1e-05	0.511336966608725	-1.70395368335449
Event_1017	Mutually Exclusive Exon	shRING1A.B	0	PCBP1-AS1	shRING1A.B_Sample_2	1e-05	0.511336966608725	-1.70395368335449
Event_1017	Mutually Exclusive Exon	shRING1A.B	0.289	PCBP1-AS1	shRING1A.B_Sample_3	0.289	0.511336966608725	-0.214695364481257
Event_1018	Mutually Exclusive Exon	Control	0.646	RGS22	Control_Sample_1	0.646	0.719041996439958	-0.427661639515429
Event_1018	Mutually Exclusive Exon	Control	0.676	RGS22	Control_Sample_2	0.676	0.719041996439958	-0.358804100585255
Event_1018	Mutually Exclusive Exon	Control	0.599	RGS22	Control_Sample_3	0.599	0.719041996439958	-0.532285007770973
Event_1018	Mutually Exclusive Exon	shRING1A.B	0.442	RGS22	shRING1A.B_Sample_1	0.442	0.761362898825928	-1.03174567203109
Event_1018	Mutually Exclusive Exon	shRING1A.B	0.313	RGS22	shRING1A.B_Sample_2	0.313	0.761362898825928	-1.32937103582159
Event_1018	Mutually Exclusive Exon	shRING1A.B	0.274	RGS22	shRING1A.B_Sample_3	0.274	0.761362898825928	-1.43003235872064
Event_1019	Mutually Exclusive Exon	Control	0.89	NSRP1	Control_Sample_1	0.89	0.262486817770445	0.950140103407317
Event_1019	Mutually Exclusive Exon	Control	1	NSRP1	Control_Sample_2	0.99999	0.262486817770445	1.99123485636711
Event_1019	Mutually Exclusive Exon	Control	0.387	NSRP1	Control_Sample_3	0.387	0.262486817770445	0.583644185264133
Event_1019	Mutually Exclusive Exon	shRING1A.B	0	NSRP1	shRING1A.B_Sample_1	1e-05	0.307330014558818	-0.655829082821622
Event_1019	Mutually Exclusive Exon	shRING1A.B	0	NSRP1	shRING1A.B_Sample_2	1e-05	0.307330014558818	-0.655829082821622
Event_1019	Mutually Exclusive Exon	shRING1A.B	0.311	NSRP1	shRING1A.B_Sample_3	0.311	0.307330014558818	0.399308351808572
Event_102	Alternative 5' Splice Site	Control	1	THADA	Control_Sample_1	0.99999	0.904720682177459	1.11755847351467
Event_102	Alternative 5' Splice Site	Control	1	THADA	Control_Sample_2	0.99999	0.904720682177459	1.11755847351467
Event_102	Alternative 5' Splice Site	Control	0.963	THADA	Control_Sample_3	0.963	0.904720682177459	-0.302959239440102
Event_102	Alternative 5' Splice Site	shRYBP	0.847	THADA	shRYBP_Sample_1	0.847	0.882006908920707	-0.670466484781157
Event_102	Alternative 5' Splice Site	shRYBP	0.766	THADA	shRYBP_Sample_2	0.766	0.882006908920707	-0.903691449772144
Event_102	Alternative 5' Splice Site	shRYBP	0.815	THADA	shRYBP_Sample_3	0.815	0.882006908920707	-0.768789878123305
Event_102	Alternative 5' Splice Site	shRING1A.B	1	THADA	shRING1A.B_Sample_1	0.99999	0.900802278168041	1.16929872919144
Event_102	Alternative 5' Splice Site	shRING1A.B	1	THADA	shRING1A.B_Sample_2	0.99999	0.900802278168041	1.16929872919144
Event_102	Alternative 5' Splice Site	shRING1A.B	0.889	THADA	shRING1A.B_Sample_3	0.889	0.900802278168041	-0.65823298869869
Event_1020	Mutually Exclusive Exon	Control	0.386	PGAP2	Control_Sample_1	0.386	0.342922777701406	0.298716624920937
Event_1020	Mutually Exclusive Exon	Control	0	PGAP2	Control_Sample_2	1e-05	0.342922777701406	-1.82203811471677
Event_1020	Mutually Exclusive Exon	Control	0	PGAP2	Control_Sample_3	1e-05	0.342922777701406	-1.82203811471677
Event_1020	Mutually Exclusive Exon	shRING1A.B	0.391	PGAP2	shRING1A.B_Sample_1	0.391	0.39416341543912	0.153019797842928
Event_1020	Mutually Exclusive Exon	shRING1A.B	0.252	PGAP2	shRING1A.B_Sample_2	0.252	0.39416341543912	-0.054200397576138
Event_1020	Mutually Exclusive Exon	shRING1A.B	0.407	PGAP2	shRING1A.B_Sample_3	0.407	0.39416341543912	0.174973678227539
Event_1021	Mutually Exclusive Exon	Control	0	TRMT2B	Control_Sample_1	1e-05	0.507343623783783	-1.70538121520125
